,file,channel,n_hfos,duration_samples,duration_sec
175,sub-01_ses-01_task-hfo_run-04_eeg.edf,Fp1-Fz,2,118,0.236
176,sub-01_ses-01_task-hfo_run-04_eeg.edf,Fp2-Fz,0,0,0.0
177,sub-01_ses-01_task-hfo_run-04_eeg.edf,F7-F3,0,0,0.0
178,sub-01_ses-01_task-hfo_run-04_eeg.edf,F3-Fz,1,62,0.124
179,sub-01_ses-01_task-hfo_run-04_eeg.edf,F8-F4,0,0,0.0
180,sub-01_ses-01_task-hfo_run-04_eeg.edf,F4-Fz,1,48,0.096
181,sub-01_ses-01_task-hfo_run-04_eeg.edf,T3-C3,1,103,0.206
182,sub-01_ses-01_task-hfo_run-04_eeg.edf,C3-Cz,0,0,0.0
183,sub-01_ses-01_task-hfo_run-04_eeg.edf,T4-C4,1,101,0.202
184,sub-01_ses-01_task-hfo_run-04_eeg.edf,C4-Cz,0,0,0.0
185,sub-01_ses-01_task-hfo_run-04_eeg.edf,T5-P3,3,150,0.3
186,sub-01_ses-01_task-hfo_run-04_eeg.edf,P3-Pz,0,0,0.0
187,sub-01_ses-01_task-hfo_run-04_eeg.edf,T6-P4,0,0,0.0
188,sub-01_ses-01_task-hfo_run-04_eeg.edf,P4-Pz,1,50,0.1
189,sub-01_ses-01_task-hfo_run-04_eeg.edf,Pz-O1,0,0,0.0
190,sub-01_ses-01_task-hfo_run-04_eeg.edf,Pz-O2,0,0,0.0
191,sub-01_ses-01_task-hfo_run-04_eeg.edf,O1-O2,0,0,0.0
192,sub-01_ses-01_task-hfo_run-04_eeg.edf,F7-C3,0,0,0.0
193,sub-01_ses-01_task-hfo_run-04_eeg.edf,C3-Fz,0,0,0.0
194,sub-01_ses-01_task-hfo_run-04_eeg.edf,F8-C4,0,0,0.0
195,sub-01_ses-01_task-hfo_run-04_eeg.edf,C4-Fz,0,0,0.0
196,sub-01_ses-01_task-hfo_run-04_eeg.edf,T5-C3,0,0,0.0
197,sub-01_ses-01_task-hfo_run-04_eeg.edf,C3-Pz,0,0,0.0
198,sub-01_ses-01_task-hfo_run-04_eeg.edf,T6-C4,0,0,0.0
199,sub-01_ses-01_task-hfo_run-04_eeg.edf,C4-Pz,0,0,0.0
200,sub-01_ses-01_task-hfo_run-04_eeg.edf,T3-P3,3,199,0.398
201,sub-01_ses-01_task-hfo_run-04_eeg.edf,P3-Cz,1,52,0.104
202,sub-01_ses-01_task-hfo_run-04_eeg.edf,T4-P4,1,100,0.2
203,sub-01_ses-01_task-hfo_run-04_eeg.edf,P4-Cz,0,0,0.0
204,sub-01_ses-01_task-hfo_run-04_eeg.edf,T3-F3,3,193,0.386
205,sub-01_ses-01_task-hfo_run-04_eeg.edf,F3-Cz,1,40,0.08
206,sub-01_ses-01_task-hfo_run-04_eeg.edf,T4-F4,1,88,0.176
207,sub-01_ses-01_task-hfo_run-04_eeg.edf,F4-Cz,0,0,0.0
208,sub-01_ses-01_task-hfo_run-05_eeg.edf,Fp1-Fp2,0,0,0.0
209,sub-01_ses-01_task-hfo_run-05_eeg.edf,Fp1-F7,0,0,0.0
210,sub-01_ses-01_task-hfo_run-05_eeg.edf,F7-T3,0,0,0.0
211,sub-01_ses-01_task-hfo_run-05_eeg.edf,T3-T5,0,0,0.0
212,sub-01_ses-01_task-hfo_run-05_eeg.edf,T5-O1,0,0,0.0
213,sub-01_ses-01_task-hfo_run-05_eeg.edf,Fp2-F8,0,0,0.0
214,sub-01_ses-01_task-hfo_run-05_eeg.edf,F8-T4,2,159,0.318
215,sub-01_ses-01_task-hfo_run-05_eeg.edf,T4-T6,2,140,0.28
216,sub-01_ses-01_task-hfo_run-05_eeg.edf,T6-O2,0,0,0.0
217,sub-01_ses-01_task-hfo_run-05_eeg.edf,Fp1-F3,1,106,0.212
218,sub-01_ses-01_task-hfo_run-05_eeg.edf,F3-C3,1,72,0.144
219,sub-01_ses-01_task-hfo_run-05_eeg.edf,C3-P3,2,103,0.206
220,sub-01_ses-01_task-hfo_run-05_eeg.edf,P3-O1,1,70,0.14
221,sub-01_ses-01_task-hfo_run-05_eeg.edf,Fp2-F4,0,0,0.0
222,sub-01_ses-01_task-hfo_run-05_eeg.edf,F4-C4,2,107,0.214
223,sub-01_ses-01_task-hfo_run-05_eeg.edf,C4-P4,0,0,0.0
224,sub-01_ses-01_task-hfo_run-05_eeg.edf,P4-O2,0,0,0.0
225,sub-01_ses-01_task-hfo_run-05_eeg.edf,Fz-Cz,0,0,0.0
226,sub-01_ses-01_task-hfo_run-05_eeg.edf,Cz-Pz,1,43,0.086
227,sub-01_ses-01_task-hfo_run-05_eeg.edf,Fp1-Fz,1,81,0.162
228,sub-01_ses-01_task-hfo_run-05_eeg.edf,Fp2-Fz,0,0,0.0
229,sub-01_ses-01_task-hfo_run-05_eeg.edf,F7-F3,1,51,0.102
230,sub-01_ses-01_task-hfo_run-05_eeg.edf,F3-Fz,0,0,0.0
231,sub-01_ses-01_task-hfo_run-05_eeg.edf,F8-F4,0,0,0.0
232,sub-01_ses-01_task-hfo_run-05_eeg.edf,F4-Fz,1,52,0.104
233,sub-01_ses-01_task-hfo_run-05_eeg.edf,T3-C3,0,0,0.0
234,sub-01_ses-01_task-hfo_run-05_eeg.edf,C3-Cz,0,0,0.0
235,sub-01_ses-01_task-hfo_run-05_eeg.edf,T4-C4,2,150,0.3
236,sub-01_ses-01_task-hfo_run-05_eeg.edf,C4-Cz,1,58,0.116
237,sub-01_ses-01_task-hfo_run-05_eeg.edf,T5-P3,1,54,0.108
238,sub-01_ses-01_task-hfo_run-05_eeg.edf,P3-Pz,0,0,0.0
